field,type
CDMC305,numeric
CDMC110,numeric
CDMC111,numeric
CDMC307,numeric
CDMC112,numeric
CDMC113,numeric
CDMC308,numeric
CDMC114,numeric
CDMC115,numeric
CDMC116,numeric
account_no,numeric
CDMC107,numeric
CDMC106,numeric
CDMC109,numeric
CDMC108,numeric
CDMC312,numeric
CDMC311,numeric
CDMC314,numeric
CDMC100,numeric
CDMC101,numeric
CDMC104,numeric
CDMC105,numeric
CDMC102,numeric
CDMC103,numeric
CDTP006,numeric
CDTP005,numeric
CDTP009,numeric
CDTP004,numeric
CDTP003,numeric
CDMC301,numeric
CDTP002,numeric
CDMC300,numeric
CDTP001,numeric
yearmonth,numeric
CDTP098,numeric
CDTP099,numeric
CDMC128,numeric
CDTP096,numeric
CDTP097,numeric
CDMC129,numeric
CDMC130,numeric
CDMC138,numeric
CDTP095,numeric
CDMC137,numeric
CDTP094,numeric
CDMC136,numeric
CDTP093,numeric
CDMC135,numeric
CDTP092,numeric
CDMC134,numeric
CDTP091,numeric
CDMC133,numeric
CDMC132,numeric
CDMC131,numeric
CDMC117,numeric
CDMC118,numeric
CDMC119,numeric
CDMC125,numeric
CDMC124,numeric
CDMC127,numeric
CDMC126,numeric
CDMC121,numeric
CDMC120,numeric
CDMC123,numeric
CDMC122,numeric
CSSP001,numeric
CSSP002,numeric
CSSP003,numeric
CSRL004,numeric
CDMC152,numeric
CDMC151,numeric
CSRL002,numeric
CDMC150,numeric
CSRL003,numeric
CDMC156,numeric
CSRL001,numeric
CDMC155,numeric
CDMC154,numeric
CDMC153,numeric
CDMC159,numeric
CDMC158,numeric
CDMC157,numeric
CDMC139,numeric
CDMC141,numeric
CDMC140,numeric
CDMC143,numeric
CDMC142,numeric
CDMC145,numeric
CDMC144,numeric
CDMC147,numeric
CDMC146,numeric
CDMC149,numeric
CDMC148,numeric
CDTP059,numeric
CDTP058,numeric
CDTP055,numeric
CDTP052,numeric
CDTP050,numeric
CDTP051,numeric
CDMC179,numeric
CDMC177,numeric
CDMC178,numeric
CDMC175,numeric
CDMC176,numeric
CDMC173,numeric
CDMC174,numeric
CDMC171,numeric
CDMC172,numeric
CDMC170,numeric
CDTP068,numeric
CDTP067,numeric
CDTP069,numeric
CDTP064,numeric
CDTP063,numeric
CDTP066,numeric
CDTP065,numeric
CDMC168,numeric
CDTP060,numeric
CDMC169,numeric
CDTP061,numeric
CDTP062,numeric
CDMC164,numeric
CDMC165,numeric
CDMC166,numeric
CDMC167,numeric
CDMC160,numeric
CDMC161,numeric
CDMC162,numeric
CDMC163,numeric
CDTB195,numeric
CDTB196,numeric
CDTB193,numeric
CDTB194,numeric
CDTB191,numeric
CDTB192,numeric
CDTB190,numeric
CDTP077,numeric
CDTP076,numeric
CDTP079,numeric
CDTP078,numeric
CDMC199,numeric
CDMC197,numeric
CDMC198,numeric
CDTP073,numeric
CDTP070,numeric
CDMC191,numeric
CDMC192,numeric
CDMC190,numeric
CDTB189,numeric
CDMC195,numeric
CDTB188,numeric
CDMC196,numeric
CDTB187,numeric
CDMC193,numeric
CDTB186,numeric
CDMC194,numeric
CDTP085,numeric
CDTP088,numeric
CDMC186,numeric
CDMC187,numeric
CDMC188,numeric
CDTP080,numeric
CDMC189,numeric
CDTP081,numeric
CDTP082,numeric
CDMC180,numeric
CDMC181,numeric
CDTB198,numeric
CDMC182,numeric
CDTB197,numeric
CDMC183,numeric
CDMC184,numeric
CDTB199,numeric
CDMC185,numeric
CDMC010_1_DIFF_CDMC011_6,numeric
CDMC105_1_DIFF_CDMC106_12,numeric
CDMC266_1_DIFF_CDMC267_6,numeric
CDMC264_1_DIFF_CDMC265_6,numeric
CDMC109_1_DIFF_CDMC110_12,numeric
CDMC107_1_DIFF_CDMC108_12,numeric
CDMC220_1_DIFF_CDMC221_6,numeric
CDMC218_1_DIFF_CDMC219_6,numeric
CDMC076_1_DIFF_CDMC077_6,numeric
CDMC074_1_DIFF_CDMC075_6,numeric
CDMC060_1_DIFF_CDMC061_6,numeric
CDMC058_1_DIFF_CDMC059_6,numeric
CDMC336_1_DIFF_CDMC337_6,numeric
CDMC334_1_DIFF_CDMC335_6,numeric
CDMC250_1_DIFF_CDMC251_6,numeric
CDMC273_1_DIFF_CDMC274_6,numeric
CDMC275_1_DIFF_CDMC276_6,numeric
CDMC298_1_DIFF_CDMC300_6,numeric
CDMC297_1_DIFF_CDMC301_6,numeric
CDMC305_1_DIFF_CDMC307_6,numeric
CDMC304_1_DIFF_CDMC308_6,numeric
CDMC312_1_DIFF_CDMC314_6,numeric
CDMC311_1_DIFF_CDMC315_6,numeric
CDMC319_1_DIFF_CDMC321_6,numeric
